wellbeing,log_income,income,income_above_100
54.071,12.9,4.00E+05,1
67.211,11.23,75000,0
86.781,10.13,25000,0
66.675,12.43,250000,1
78.008,11.08,65000,0
67.179,11.08,65000,0
59.91,9.62,15000,0
53.352,11.35,85000,0
63.434,11.35,85000,0
89.819,12.9,4.00E+05,1
61.056,10.46,35000,0
57.485,10.92,55000,0
55.906,9.62,15000,0
61.227,11.23,75000,0
49.853,10.13,25000,0
38.856,9.62,15000,0
88.715,12.43,250000,1
58.665,11.83,137500,1
57.249,11.35,85000,0
66.288,11.63,112500,1
53.054,12.43,250000,1
80.852,9.62,15000,0
58.885,11.83,137500,1
93.326,11.23,75000,0
48.682,12.07,175000,1
48.928,10.13,25000,0
70.848,10.13,25000,0
55.069,9.62,15000,0
68,11.46,95000,0
67.075,10.71,45000,0
63.545,10.13,25000,0
21.91,10.92,55000,0
53.172,10.92,55000,0
54.725,9.62,15000,0
68.825,11.46,95000,0
68.701,12.07,175000,1
53.401,11.63,112500,1
63,10.92,55000,0
52.826,12.07,175000,1
57.956,12.43,250000,1
81.895,11.08,65000,0
60.202,10.46,35000,0
60.875,11.63,112500,1
70.105,11.23,75000,0
57.851,12.43,250000,1
53.513,10.71,45000,0
74.147,12.43,250000,1
66.321,12.43,250000,1
79.5,12.9,4.00E+05,1
77.051,11.63,112500,1
65.342,10.71,45000,0
74.035,11.35,85000,0
56.197,10.46,35000,0
48.531,10.92,55000,0
64.504,11.35,85000,0
70.457,12.07,175000,1
60.037,11.63,112500,1
64.565,11.08,65000,0
71.153,11.35,85000,0
61.148,11.63,112500,1
80.073,11.23,75000,0
64.114,11.63,112500,1
54.935,10.13,25000,0
76.044,10.13,25000,0
77.906,12.07,175000,1
59.94,10.13,25000,0
65.211,11.08,65000,0
68.732,10.92,55000,0
52.414,11.35,85000,0
59.685,10.71,45000,0
44.983,11.63,112500,1
62.385,11.23,75000,0
69.257,10.13,25000,0
91.122,10.71,45000,0
73.545,11.83,137500,1
58.665,11.83,137500,1
75,10.71,45000,0
54.127,10.92,55000,0
45.475,11.08,65000,0
62.325,10.71,45000,0
69.145,11.23,75000,0
66.38,11.63,112500,1
63.191,11.46,95000,0
39.945,11.23,75000,0
61.709,12.43,250000,1
51.478,11.35,85000,0
71.011,12.43,250000,1
38.528,12.07,175000,1
62.62,11.46,95000,0
52.988,11.46,95000,0
50.989,10.13,25000,0
63.978,10.71,45000,0
60.001,11.63,112500,1
61.709,11.63,112500,1
75.577,10.71,45000,0
71.925,10.46,35000,0
50.531,10.46,35000,0
63.517,10.71,45000,0
61,11.63,112500,1
61.392,11.08,65000,0
56.226,11.08,65000,0
76.091,11.23,75000,0
74.3,10.46,35000,0
58.849,11.63,112500,1
52.776,10.13,25000,0
57.502,11.83,137500,1
82.468,10.13,25000,0
49.669,10.46,35000,0
66.811,11.08,65000,0
80.474,10.71,45000,0
49.669,11.08,65000,0
60.781,11.08,65000,0
46,10.92,55000,0
69.488,10.92,55000,0
69.331,11.23,75000,0
59.384,11.23,75000,0
65.317,11.35,85000,0
46.54,10.71,45000,0
48.607,11.08,65000,0
64.191,11.08,65000,0
71.973,11.23,75000,0
71.793,12.07,175000,1
62.502,12.07,175000,1
76.957,12.43,250000,1
52.738,12.9,4.00E+05,1
55.145,11.08,65000,0
68.762,11.63,112500,1
67.506,11.63,112500,1
70.292,11.35,85000,0
58.51,11.46,95000,0
74.409,10.92,55000,0
64.654,12.07,175000,1
59.996,11.23,75000,0
26.73,10.92,55000,0
69.844,10.92,55000,0
56.647,10.46,35000,0
81.8,10.13,25000,0
53.555,11.35,85000,0
44.43,11.46,95000,0
66.754,11.35,85000,0
48.349,10.71,45000,0
60.269,11.35,85000,0
70.014,10.46,35000,0
74.52,12.07,175000,1
64.713,9.62,15000,0
57.353,12.07,175000,1
64.144,10.46,35000,0
38.242,11.23,75000,0
74.881,11.08,65000,0
73,11.08,65000,0
55.424,10.92,55000,0
68.928,10.46,35000,0
63.569,10.13,25000,0
73.545,12.43,250000,1
70.376,10.46,35000,0
45.475,10.71,45000,0
68.656,10.71,45000,0
53.637,10.71,45000,0
55.453,12.07,175000,1
26.73,10.13,25000,0
45.981,12.43,250000,1
62.2,11.08,65000,0
81.08,11.46,95000,0
59.82,11.63,112500,1
61.32,11.08,65000,0
88.957,11.08,65000,0
59.82,11.63,112500,1
64.371,10.71,45000,0
72.848,11.35,85000,0
69.73,11.08,65000,0
73.323,13.35,625000,1
58.219,10.46,35000,0
50,11.35,85000,0
62.385,10.46,35000,0
44.983,11.46,95000,0
73.883,11.23,75000,0
71.315,11.46,95000,0
60.586,11.63,112500,1
66.811,11.46,95000,0
62.059,11.46,95000,0
51.014,9.62,15000,0
78.758,12.07,175000,1
49.546,11.08,65000,0
57.591,12.07,175000,1
66.811,12.07,175000,1
58,10.46,35000,0
32.19,11.23,75000,0
61.709,11.46,95000,0
70.139,11.83,137500,1
57.707,11.83,137500,1
92.326,10.46,35000,0
51.839,11.08,65000,0
67.179,10.92,55000,0
65.808,11.83,137500,1
53.094,10.71,45000,0
56.614,10.46,35000,0
29.229,9.62,15000,0
99.501,11.63,112500,1
68.895,10.13,25000,0
67.179,10.46,35000,0
66.754,11.23,75000,0
74.035,12.43,250000,1
65.55,11.35,85000,0
80.276,10.46,35000,0
89.539,12.07,175000,1
56.417,11.63,112500,1
54.417,10.71,45000,0
65.28,11.35,85000,0
70.769,11.23,75000,0
47.928,12.07,175000,1
53.637,10.92,55000,0
56.386,11.08,65000,0
41.977,10.46,35000,0
56.895,10.92,55000,0
62.766,10.13,25000,0
68.797,12.07,175000,1
39.226,12.43,250000,1
68.227,12.07,175000,1
39.945,11.23,75000,0
65.952,9.62,15000,0
59.178,11.35,85000,0
66.005,12.43,250000,1
91.122,11.83,137500,1
76.342,11.63,112500,1
59.019,10.13,25000,0
51.512,11.83,137500,1
52.691,11.23,75000,0
50.044,12.07,175000,1
70.457,12.07,175000,1
50.363,11.23,75000,0
81.482,11.08,65000,0
56.257,10.46,35000,0
60.138,9.62,15000,0
63.761,11.63,112500,1
61.863,11.35,85000,0
35.407,10.46,35000,0
39.945,11.35,85000,0
65.468,11.83,137500,1
67.569,10.46,35000,0
61.175,10.92,55000,0
68.227,10.92,55000,0
82.564,11.83,137500,1
66.606,9.62,15000,0
62.455,11.08,65000,0
83.711,11.35,85000,0
47.422,10.92,55000,0
60.906,12.07,175000,1
69.488,11.83,137500,1
58.761,11.83,137500,1
53.486,11.46,95000,0
58.343,12.43,250000,1
66.288,10.71,45000,0
65.703,10.92,55000,0
57.788,11.63,112500,1
63.875,11.63,112500,1
58.914,9.62,15000,0
56.481,10.92,55000,0
69.844,12.07,175000,1
51.42,9.62,15000,0
72.429,12.07,175000,1
78.534,11.46,95000,0
71.113,10.71,45000,0
73.883,12.07,175000,1
76.214,12.43,250000,1
74.479,11.08,65000,0
19.191,12.9,4.00E+05,1
60.269,11.23,75000,0
56.103,9.62,15000,0
64.4,11.63,112500,1
81.006,12.07,175000,1
89.202,10.13,25000,0
100,11.46,95000,0
68.331,9.62,15000,0
56.865,10.71,45000,0
61.985,12.07,175000,1
71.355,11.46,95000,0
66.857,10.92,55000,0
49.669,12.07,175000,1
61.469,10.92,55000,0
64.654,12.43,250000,1
52.738,11.35,85000,0
58.51,11.63,112500,1
51.839,10.13,25000,0
63.336,11.83,137500,1
68.967,9.62,15000,0
59.794,11.08,65000,0
62.115,10.46,35000,0
48.857,10.13,25000,0
60.293,12.07,175000,1
65.404,11.23,75000,0
59.178,11.23,75000,0
87.409,10.71,45000,0
83.02,11.35,85000,0
68.797,11.63,112500,1
83.711,10.92,55000,0
84.855,11.63,112500,1
57.249,12.07,175000,1
78.615,10.46,35000,0
67.179,12.9,4.00E+05,1
35.407,11.35,85000,0
60.17,11.46,95000,0
45.586,11.63,112500,1
75.25,10.13,25000,0
53.731,11.83,137500,1
71.747,10.46,35000,0
